Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
119,Exit short,2024-04-22 16:00,Buy signal — close short,66558.04,28.776745,1975049.016,58169.12,2.94,1556.15,257891.62,13.05,-76789.69,-3.89,1033216.94,103.32,73
119,Entry short,2024-04-10 12:00,Sell,68633.51,28.776745,1975049.016,58169.12,2.94,1556.15,257891.62,13.05,-76789.69,-3.89,1033216.94,103.32,73
120,Exit long,2024-04-24 16:00,Sell signal — close long,63979.58,30.547329,2033170.345,-80360.09,-3.95,1595.03,19792.13,0.97,-85060.36,-4.18,952856.8,95.29,12
120,Entry long,2024-04-22 16:00,Buy,66558.04,30.547329,2033170.345,-80360.09,-3.95,1595.03,19792.13,0.97,-85060.36,-4.18,952856.8,95.29,12
121,Exit short,2024-05-03 12:00,Buy signal — close short,61677.47,30.523145,1952857.997,68733.46,3.52,1534.18,226379.73,11.59,-39338.29,-2.01,1021590.25,102.16,53
121,Entry short,2024-04-24 16:00,Sell,63979.58,30.523145,1952857.997,68733.46,3.52,1534.18,226379.73,11.59,-39338.29,-2.01,1021590.25,102.16,53
122,Exit long,2024-05-08 20:00,Sell signal — close long,61198.69,32.775911,2021535.267,-17303.4,-0.86,1610.95,124168.23,6.14,-26687.82,-1.32,1004286.9,100.43,32
122,Entry long,2024-05-03 12:00,Buy,61677.47,32.775911,2021535.267,-17303.4,-0.86,1610.95,124168.23,6.14,-26687.82,-1.32,1004286.9,100.43,32
123,Exit short,2024-05-13 12:00,Buy signal — close short,62975.16,32.750507,2004288.125,-59807,-2.98,1626.7,31672.38,1.58,-74569.61,-3.72,944479.9,94.45,28
123,Entry short,2024-05-08 20:00,Sell,61198.69,32.750507,2004288.125,-59807,-2.98,1626.7,31672.38,1.58,-74569.61,-3.72,944479.9,94.45,28
124,Exit long,2024-05-23 12:00,Sell signal — close long,68041.71,30.877693,1944527.657,154825.17,7.96,1618.2,276488.44,14.21,-57632.91,-2.96,1099305,109.93,60
124,Entry long,2024-05-13 12:00,Buy,62975.16,30.877693,1944527.657,154825.17,7.96,1618.2,276488.44,14.21,-57632.91,-2.96,1099305,109.93,60
125,Exit short,2024-05-27 12:00,Buy signal — close short,70335.89,30.853227,2099306.324,-72490.62,-3.45,1707.76,49447.34,2.35,-75795.17,-3.61,1026814.44,102.68,24
125,Entry short,2024-05-23 12:00,Sell,68041.71,30.853227,2099306.324,-72490.62,-3.45,1707.76,49447.34,2.35,-75795.17,-3.61,1026814.44,102.68,24
126,Exit long,2024-06-07 16:00,Sell signal — close long,69235.49,28.817042,2026872.296,-33319.09,-1.64,1608.81,45214.68,2.23,-106820.58,-5.27,993495.4,99.35,67
126,Entry long,2024-05-27 12:00,Buy,70335.89,28.817042,2026872.296,-33319.09,-1.64,1608.81,45214.68,2.23,-106820.58,-5.27,993495.4,99.35,67
