Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
58,Exit short,2024-03-15 16:00,Short SL/Trail,68899.71,23.726631,1647415.441,11344.58,0.69,1312.87,89845.08,5.45,-70761.43,-4.29,659419,65.94,6
58,Entry short,2024-03-14 16:00,Sell,69433.18,23.726631,1647415.441,11344.58,0.69,1312.87,89845.08,5.45,-70761.43,-4.29,659419,65.94,6
59,Exit long,2024-04-01 12:00,Sell signal — close long,68249.12,23.772085,1658755.472,-37644.06,-2.27,1312.47,45669.72,2.75,-38107.86,-2.30,621774.94,62.18,42
59,Entry long,2024-03-25 12:00,Buy,69777.45,23.772085,1658755.472,-37644.06,-2.27,1312.47,45669.72,2.75,-38107.86,-2.30,621774.94,62.18,42
60,Exit short,2024-04-04 12:00,Short SL/Trail,67753.06,23.762594,1621776.129,10494.97,0.65,1292.71,87806.12,5.41,-39905.7,-2.46,632269.94,63.23,18
60,Entry short,2024-04-01 12:00,Sell,68249.12,23.762594,1621776.129,10494.97,0.65,1292.71,87806.12,5.41,-39905.7,-2.46,632269.94,63.23,18
61,Exit long,2024-04-09 12:00,Long SL/Trail,69115.46,23.503148,1631617.208,-8488.74,-0.52,1302.42,77658.43,4.76,-12749.72,-0.78,623781.2,62.38,15
61,Entry long,2024-04-07 00:00,Buy,69421.22,23.503148,1631617.208,-8488.74,-0.52,1302.42,77658.43,4.76,-12749.72,-0.78,623781.2,62.38,15
62,Exit short,2024-04-13 20:00,Short SL/Trail,63951.03,23.649269,1623131.867,109482.55,6.74,1254.21,185103.94,11.40,-63107.68,-3.89,733263.75,73.33,20
62,Entry short,2024-04-10 12:00,Sell,68633.49,23.649269,1623131.867,109482.55,6.74,1254.21,185103.94,11.40,-63107.68,-3.89,733263.75,73.33,20
63,Exit long,2024-04-24 16:00,Sell signal — close long,63979.56,26.030967,1732570.663,-68480.05,-3.95,1359.21,16865.38,0.97,-72484.87,-4.18,664783.7,66.48,12
63,Entry long,2024-04-22 16:00,Buy,66558.06,26.030967,1732570.663,-68480.05,-3.95,1359.21,16865.38,0.97,-72484.87,-4.18,664783.7,66.48,12
64,Exit short,2024-05-01 16:00,Short SL/Trail,59364.24,26.020575,1664784.939,118809.49,7.13,1283.79,192985.19,11.59,-33535.89,-2.01,783593.1,78.36,42
64,Entry short,2024-04-24 16:00,Sell,63979.56,26.020575,1664784.939,118809.49,7.13,1283.79,192985.19,11.59,-33535.89,-2.01,783593.1,78.36,42
65,Exit long,2024-05-08 00:00,Long SL/Trail,62215.97,28.906494,1782879.995,14133.04,0.79,1432.53,109508.76,6.14,-4601.94,-0.26,797726.2,79.77,27
65,Entry long,2024-05-03 12:00,Buy,61677.49,28.906494,1782879.995,14133.04,0.79,1432.53,109508.76,6.14,-4601.94,-0.26,797726.2,79.77,27
66,Exit short,2024-05-13 12:00,Buy signal — close short,62975.18,29.363503,1797007.33,-53623.03,-2.98,1458.47,28396.29,1.58,-66858.33,-3.72,744103.2,74.41,28
66,Entry short,2024-05-08 20:00,Sell,61198.67,29.363503,1797007.33,-53623.03,-2.98,1458.47,28396.29,1.58,-66858.33,-3.72,744103.2,74.41,28
67,Exit long,2024-05-23 12:00,Long SL/Trail,68356.88,27.695773,1744146.29,147595.4,8.46,1454.94,247995.98,14.21,-51694.44,-2.96,891698.56,89.17,60
67,Entry long,2024-05-13 12:00,Buy,62975.18,27.695773,1744146.29,147595.4,8.46,1454.94,247995.98,14.21,-51694.44,-2.96,891698.56,89.17,60
68,Exit short,2024-05-27 12:00,Buy signal — close short,70335.91,27.790935,1890942.184,-65296.78,-3.45,1538.26,44538.96,2.35,-68272.79,-3.61,826401.8,82.64,24
68,Entry short,2024-05-23 12:00,Sell,68041.69,27.790935,1890942.184,-65296.78,-3.45,1538.26,44538.96,2.35,-68272.79,-3.61,826401.8,82.64,24
69,Exit long,2024-06-07 16:00,Sell signal — close long,69235.47,25.967591,1826454.143,-30025.51,-1.64,1449.73,40743.3,2.23,-96258.59,-5.27,796376.3,79.64,67
69,Entry long,2024-05-27 12:00,Buy,70335.91,25.967591,1826454.143,-30025.51,-1.64,1449.73,40743.3,2.23,-96258.59,-5.27,796376.3,79.64,67
70,Exit short,2024-06-12 12:00,Short SL/Trail,69405.75,25.945919,1796377.897,-5856.94,-0.33,1438.87,80616.72,4.49,-24922.2,-1.39,790519.3,79.05,29
70,Entry short,2024-06-07 16:00,Sell,69235.47,25.945919,1796377.897,-5856.94,-0.33,1438.87,80616.72,4.49,-24922.2,-1.39,790519.3,79.05,29
71,Exit long,2024-06-14 16:00,Sell signal — close long,65496.71,25.669597,1789803.41,-109917.69,-6.14,1388.43,2574.66,0.14,-120742.34,-6.74,680601.6,68.06,13
71,Entry long,2024-06-12 12:00,Buy,69724.64,25.669597,1789803.41,-109917.69,-6.14,1388.43,2574.66,0.14,-120742.34,-6.74,680601.6,68.06,13
72,Exit short,2024-06-25 00:00,Short SL/Trail,61425.56,25.659349,1680602.94,103160.36,6.14,1302.7,178846.2,10.64,-45612.79,-2.71,783762,78.38,62
72,Entry short,2024-06-14 16:00,Sell,65496.71,25.659349,1680602.94,103160.36,6.14,1302.7,178846.2,10.64,-45612.79,-2.71,783762,78.38,62
73,Exit long,2024-07-03 00:00,Sell signal — close long,60894.08,28.45058,1783048.775,-51983.09,-2.91,1406.21,29980.12,1.68,-61003.41,-3.42,731778.94,73.18,13
73,Entry long,2024-06-30 20:00,Buy,62671.79,28.45058,1783048.775,-51983.09,-2.91,1406.21,29980.12,1.68,-61003.41,-3.42,731778.94,73.18,13
74,Exit short,2024-07-05 12:00,Short SL/Trail,56219.39,28.439223,1731780.32,131612.31,7.60,1332.25,208388.19,12.03,-6247.75,-0.36,863391.25,86.34,15
74,Entry short,2024-07-03 00:00,Sell,60894.08,28.439223,1731780.32,131612.31,7.60,1332.25,208388.19,12.03,-6247.75,-0.36,863391.25,86.34,15
75,Exit long,2024-07-24 20:00,Sell signal — close long,65389.13,31.584813,1862646.123,201086.14,10.79,1571.18,299468.9,16.07,-77241.9,-4.15,1064477.4,106.45,88
75,Entry long,2024-07-10 04:00,Buy,58972.84,31.584813,1862646.123,201086.14,10.79,1571.18,299468.9,16.07,-77241.9,-4.15,1064477.4,106.45,88
76,Exit short,2024-07-26 00:00,Buy signal — close short,67022.52,31.572204,2064478.952,-53241.93,-2.58,1672.21,60054.26,2.91,-65327.8,-3.16,1011235.44,101.12,7
76,Entry short,2024-07-24 20:00,Sell,65389.13,31.572204,2064478.952,-53241.93,-2.58,1672.21,60054.26,2.91,-65327.8,-3.16,1011235.44,101.12,7
77,Exit long,2024-07-29 16:00,Long SL/Trail,66515.02,30.008997,2011278.602,-16832.5,-0.84,1602.93,89022.62,4.42,-16034.08,-0.80,994402.94,99.44,22
77,Entry long,2024-07-26 00:00,Buy,67022.52,30.008997,2011278.602,-16832.5,-0.84,1602.93,89022.62,4.42,-16034.08,-0.80,994402.94,99.44,22
78,Exit short,2024-08-01 20:00,Short SL/Trail,65396.97,29.85178,1993605.454,39811.16,2.00,1578.33,133555.86,6.70,-6943.92,-0.35,1034214.1,103.42,18
78,Entry short,2024-07-29 20:00,Sell,66783.47,29.85178,1993605.454,39811.16,2.00,1578.33,133555.86,6.70,-6943.92,-0.35,1034214.1,103.42,18
79,Exit long,2024-08-09 12:00,Long SL/Trail,59577.84,34.215659,2033400.688,3465.61,0.17,1628.76,111571.73,5.48,-6696.4,-0.33,1037679.7,103.77,6
79,Entry long,2024-08-08 12:00,Buy,59428.95,34.215659,2033400.688,3465.61,0.17,1628.76,111571.73,5.48,-6696.4,-0.33,1037679.7,103.77,6
80,Exit short,2024-08-20 00:00,Buy signal — close short,60635.16,35.074935,2036864.961,-91574.79,-4.49,1665.46,66587,3.27,-100478.42,-4.93,946104.94,94.61,29
80,Entry short,2024-08-15 04:00,Sell,58071.81,35.074935,2036864.961,-91574.79,-4.49,1665.46,66587,3.27,-100478.42,-4.93,946104.94,94.61,29
81,Exit long,2024-08-27 08:00,Sell signal — close long,62426.01,32.096535,1946178.535,55900.15,2.87,1579.93,139253.89,7.15,-65686.65,-3.37,1002005.06,100.20,44
81,Entry long,2024-08-20 00:00,Buy,60635.16,32.096535,1946178.535,55900.15,2.87,1579.93,139253.89,7.15,-65686.65,-3.37,1002005.06,100.20,44
82,Exit short,2024-08-29 12:00,Short SL/Trail,60780.82,32.070078,2002007.01,51180.87,2.56,1580.5,144783.23,7.23,-3124.92,-0.16,1053186,105.32,13
82,Entry short,2024-08-27 08:00,Sell,62426.01,32.070078,2002007.01,51180.87,2.56,1580.5,144783.23,7.23,-3124.92,-0.16,1053186,105.32,13
83,Exit long,2024-09-16 12:00,Long SL/Trail,57608.38,35.952386,2052364.964,17144.34,0.84,1649.41,126982.95,6.18,-55403.14,-2.70,1070330.2,107.03,41
83,Entry long,2024-09-09 16:00,Buy,57085.64,35.952386,2052364.964,17144.34,0.84,1649.41,126982.95,6.18,-55403.14,-2.70,1070330.2,107.03,41
84,Exit short,2024-09-17 12:00,Buy signal — close short,61117.74,35.753848,2069502.442,-117393.82,-5.67,1701.88,12760.81,0.62,-123105.6,-5.95,952936.44,95.29,6
84,Entry short,2024-09-16 12:00,Sell,57881.95,35.753848,2069502.442,-117393.82,-5.67,1701.88,12760.81,0.62,-123105.6,-5.95,952936.44,95.29,6
85,Exit long,2024-09-30 08:00,Sell signal — close long,63830.77,31.955218,1953030.705,85098.36,4.36,1597.1,169579.72,8.68,-62176.77,-3.18,1038034.8,103.80,77
85,Entry long,2024-09-17 12:00,Buy,61117.74,31.955218,1953030.705,85098.36,4.36,1597.1,169579.72,8.68,-62176.77,-3.18,1038034.8,103.80,77
86,Exit short,2024-10-06 16:00,Short SL/Trail,62857.07,31.928751,2038036.761,29471.03,1.45,1617.99,125844.23,6.17,-11349.15,-0.56,1067505.9,106.75,38
86,Entry short,2024-09-30 08:00,Sell,63830.77,31.928751,2038036.761,29471.03,1.45,1617.99,125844.23,6.17,-11349.15,-0.56,1067505.9,106.75,38
87,Exit long,2024-10-09 16:00,Sell signal — close long,60993.45,32.537489,2066679.134,-83725.93,-4.05,1620.5,29033.96,1.40,-89237.54,-4.32,983779.94,98.38,16
87,Entry long,2024-10-07 00:00,Buy,63516.86,32.537489,2066679.134,-83725.93,-4.05,1620.5,29033.96,1.40,-89237.54,-4.32,983779.94,98.38,16
88,Exit short,2024-10-11 16:00,Buy signal — close short,63030.68,32.524501,1983781.526,-67873.42,-3.42,1613.53,67236.36,3.39,-77496.37,-3.90,915906.5,91.59,12
